Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
AvoidingThePuddle,309117315,80955,13108,3893,336181,67040,4202354,True,True,English
Ko0416,307823730,200625,5448,1515,108784,12127,11705657,True,True,Chinese
Dota2ruhub2,307331445,55230,54508,5158,248277,71813,13417924,True,False,Russian
Slushpuppy,307001595,150525,118125,1560,122486,85852,5065635,True,False,English
itmeJP,306920835,145950,24603,2079,369273,6134,10677522,True,False,English
JesusAVGN,306076605,78315,43859,3838,682899,181914,13548535,True,False,Russian
tarzaned,306010080,72390,14602,4159,388878,172683,7744943,True,True,English
Mickalow,305967975,157260,37872,1830,864324,260914,8191116,True,False,French
UNLOSTV,304599090,19995,128345,12171,1585519,571237,11452750,True,False,Turkish
resttpowered,304222200,148335,9248,2072,252184,37681,8585834,True,False,Slovak
Felps,303435945,96930,15553,3109,844681,284169,6099521,True,False,Portuguese
Doublelift,301917225,20370,52584,13364,1389835,166536,7617972,True,False,English
쉐리 (kss7749),301790445,115380,12295,2403,170718,19597,7546887,True,False,Korean
Kiwo,299469345,234330,10836,1243,296481,38195,4900030,True,True,English
adolfz,299235990,62520,15928,4926,294217,154653,2743587,True,True,Portuguese
LigaPro1,298828170,232620,11533,1149,30986,29434,60922719,False,False,Other
knekro,298811910,102210,13731,2912,260728,97206,10900480,True,False,Spanish
Savjz,298693050,86205,12708,3401,542892,13967,4072337,True,False,English
BobbyPoffGaming,298668465,224295,6453,1254,125803,81131,2208405,True,False,English
The_Happy_Hob,295999245,106125,8560,2834,216106,38712,4158704,True,True,English
Smurfdomuca,294868035,107055,18282,2843,267948,251923,5976634,True,False,Portuguese
Timmac,294663825,191970,13500,1460,393639,32867,4232938,True,False,English
